id	chave	autores	titulo	ano	veiculo	link	area	tema	veredito	motivo
RF024	seeger2003bayesian	Matthias Seeger	Bayesian Gaussian Process Models: PAC-Bayesian Generalisation Error Bounds and Sparse Approximations	2003	University of Edinburgh	https://era.ed.ac.uk/items/be1691ec-c271-4a00-8ad0-eae7e5136275	Probabilidade e Estatística	Inferência Bayesiana, Processos Gaussianos (GP), limites de erro de generalização PAC-Bayesian, aproximações esparsas	fora-de-escopo	Limites PAC-Bayes de generalização e aproximações esparsas para processos gaussianos sob lei fixa: nenhum degrau do mapa carrega inferência gaussiana ou garantia de generalização estática — o livro mede cobertura com conformal/e-values (lei2021conformal, vovk2021values) e capacidade com o readout e o teto do posto do cap. 29. É ainda relatório universitário sem revisão de periódico.
RF025	seeger2003fast	Matthias Seeger, Christopher Williams, Neil Lawrence	Fast Forward Selection to Speed Up Sparse Gaussian Process Regression	2003	University of Edinburgh	https://www.research.ed.ac.uk/en/publications/fast-forward-selection-to-speed-up-sparse-gaussian-process-regres/	Ciência da Computação	Regressão por Processos Gaussianos, seleção de atributos (ARD)	fora-de-escopo	Regressão por processos gaussianos esparsos com seleção rápida de atributos (ARD): maquinário de regressão/otimização que nenhum dos 33 degraus carrega. O que o livro precisa de estimação kernel já tem chaves próprias (pfister2018kernel, masry1996minimum); sem contato com alarme, cauda, janela, memória, causa ou relógio.
RF026	lawrence2003fast	Neil Lawrence, Matthias Seeger, Ralf Herbrich	Fast sparse Gaussian process methods: The informative vector machine	2003	Microsoft Research, Cambridge; University of Edinburgh	https://papers.nips.cc/paper_files/paper/2002/hash/d4dd111a4fd973394238aca5c05bebe3-Abstract.html	Ciência da Computação	Processos Gaussianos esparsos, seleção de dados ativa, classificação binária	fora-de-escopo	Processos gaussianos esparsos com seleção ativa de dados (IVM); nenhum capítulo faz regressão GP nem seleção de covariáveis — os orçamentos do livro são de falso alarme, variação e janela, medidos em fluxo, não aproximação computacional de posteriores.
RF030	bergson1888essai	Henri Bergson	Essai sur les données immédiates de la conscience Time and Free Will	1888	Lycée de Clermont-Ferrand	https://gallica.bnf.fr/ark:/12148/bpt6k1520945m	Filosofia	Plasticidade, indeterminação, automação vs. ação voluntária, consciência imediata	fora-de-escopo	Filosofia da duração e da vontade sem contato com a medida: 'O enquadramento' (tempo, memória e individuação) só vale no livro depois de medida — teto do posto (cap. 29), teto dos bits (cap. 32) — e a fonte não traz afirmação medível nenhuma, só a experiência imediata da consciência.
RF031	bergson1896matter	Henri Bergson	Matter and Memory Matière et mémoire	1896	Collège de France	https://fr.wikisource.org/wiki/Mati%C3%A8re_et_m%C3%A9moire	Filosofia	Memória pura, reconhecimento atento, esquema motor, planos de consciência, virtual vs. atual	fora-de-escopo	Filosofia da memória (memória pura, virtual vs. atual, planos de consciência) sem procedimento que produza número — exatamente o caso 'filosofia sem contato com a medida do livro'. A memória do mapa (caps. 16, 19, 29, 32) é medida em half-life, informação entre instantes, capacidade e bits; o §3 do contrato ainda tranca vocabulário metafísico fora do texto.
RF032	hansen2004philosophy	Mark B. N. Hansen	New Philosophy for New Media	2004	Princeton University	https://mitpress.mit.edu/9780262083218/new-philosophy-for-new-media/	Filosofia	Percepção corporificada, imagem digital, centro de indeterminação	fora-de-escopo	Filosofia da nova mídia: percepção corporificada e imagem digital, sem procedimento mensurável — é o exemplo dado de filosofia sem contato com a medida. Nenhum degrau dos 33 toca mídia ou percepção, e o próprio contrato (§3) tranca vocabulário filosófico fora do corpo do livro.
RF033	massumi2002parables	Brian Massumi	Parables for the Virtual	2002	Université de Montréal	https://doi.org/10.1215/9780822383574	Filosofia	Afeto, emergência, virtualidade, movimento e sensação	fora-de-escopo	Filosofia do afeto, virtualidade e movimento: nenhum dos 33 degraus do §4 toca nesse tema, e o contrato (§3) tranca o vocabulário do livro; não carrega afirmação medível para capítulo algum.
RF034	fechner1860elements	Gustav Fechner	The Elements of Psychophysics	1860	Universität Leipzig (Leipzig University)	https://archive.org/details/elementederpsych001fech	Filosofia	Psicometria, medição de estados mentais	fora-de-escopo	Psicofísica e medição de estados mentais (lei de Weber-Fechner) ficam fora do mapa: os capítulos da raiz medem processo estocástico com procedimento repetível (sorteio, barra, corte), não escala de sensação; serviria no máximo como anedota histórica do logaritmo no capítulo 2, e anedota é enfeite, não expande.
RF036	dohare2023overcoming	Shibhansh Dohare, Qingfeng Lan, A. Rupam Mahmood	Overcoming Policy Collapse in Deep Reinforcement Learning	2023	University of Alberta	https://openreview.net/forum?id=m9Jfdz4ymO	Ciência da Computação	Colapso de política (Policy Collapse), aprendizado por reforço (RL), PPO, otimizador Adam.	fora-de-escopo	Engenharia de treino de redes profundas sem degrau no mapa: o livro mede esquecimento por taxa/janela (cap. 19, com grossberg2020path e box2008time já citados) e capacidade por reservatório com readout linear (cap. 29, com jaeger2001echo/maass2002real), sem treino por gradiente — o §8 veta dependência pesada.
RF038	sokar2023dormant	G. Sokar, R. Agarwal, P. S. Castro, U. Evci	The Dormant Neuron Phenomenon in Deep Reinforcement Learning	2023	Eindhoven University of Technology; Google DeepMind; Mila	https://proceedings.mlr.press/v202/sokar23a.html	Ciência da Computação	Neurônios dormentes (Dormant Neurons), plasticidade.	fora-de-escopo	Fenômeno de treino em RL profundo: neurônios dormentes e perda de plasticidade em redes treinadas por gradiente. Próximo tematicamente de D3 e do cap. 29, mas o objeto do livro é a capacidade medida em caderno (teto do posto do readout), não a patologia de treinamento profundo; nenhum capítulo carrega dinâmica de treino de deep RL e o achado não se instanciaria no instrumento do livro.
RF039	song2019generative	Yang Song, Stefano Ermon	Generative Modeling by Estimating Gradients of the Data Distribution	2019	Stanford University	https://proceedings.neurips.cc/paper/2019/hash/3001ef257407d5a371a96dcd947c7d93-Abstract.html	Ciência da Computação	Aprendizado baseado em escore (score-based), modelagem generativa, dinâmica de Langevin	fora-de-escopo	Modelagem generativa por estimação de gradiente da densidade com dinâmica de Langevin; as 'famílias geradoras' do livro (cap. 12) são as famílias que geram a cauda e o recorde, não amostragem generativa — nenhum capítulo estima escore de distribuição.
RF046	karras2022elucidating	Tero Karras, Miika Aittala, Timo Aila, Samuli Laine	Elucidating the Design Space of Diffusion-Based Generative Models (EDM)	2022	NVIDIA	https://arxiv.org/abs/2206.00364	Ciência da Computação	Modelos de difusão, precondicionamento de rede, unificação de variância	fora-de-escopo	Elucidação do espaço de projeto de modelos generativos de difusão (precondicionamento, unificação de variância) para síntese de imagem — o exemplo nominal de tema fora do mapa; nenhum capítulo gera nem sintetiza, e a palavra vizinha 'difusão' não é contato com a medida do livro.
RF047	black2023training	Kevin Black, Cheng Chi, Abhishek Gupta, Sergey Levine	Training Diffusion Models with Reinforcement Learning (DDPO)	2023	UC Berkeley	https://arxiv.org/abs/2305.13301	Ciência da Computação	Aprendizado por Reforço (RL), Processo de Decisão de Markov (MDP)	fora-de-escopo	Reforço para afinar modelos de difusão generativos (MDP, recompensa em síntese de imagem): síntese generativa de imagem é o exemplo dado de tema fora do mapa; o laço do cap. 18 é o instrumento que reage à própria série, não uma política que treina um sampler.
RF048	al2023analytical	E. Lemaire; L. Cordone; A. Castagnetti; P.-E. Novac et al.	An analytical estimation of spiking neural networks energy efficiency	2023	Citado em estudo da Delft University of Technology	https://doi.org/10.1007/978-3-031-30105-6_48	Ciência da Computação	Eficiência energética; Redes neurais de impulsos (SNNs); Acessibilidade	fora-de-escopo	Eficiência energética de hardware neuromórfico (SNNs, joules por inferência). O mapa mede o teto de memória em bits e capacidade (caps. 29 e 32, 'o outro teto, o dos bits'), nunca orçamento energético de substrato; e a procedência declarada ('citado em estudo da Delft') é citação de segunda mão, sem veículo próprio.
RF049	cruz2025energy	Enrique Barba Roque; Luis Cruz	Energy Aware Development of Neuromorphic Implantables: From Metrics to Action	2025	Delft University of Technology (TU Delft)	https://doi.org/10.1109/ict4s68164.2025.00028	Ciência da Computação	Plasticidade; Redes neurais de impulsos (SNNs); Eficiência energética; Acessibilidade; Fidelidade; Redes neurais artificiais (ANNs)	fora-de-escopo	Métricas de energia para implantes neuromórficos: engenharia de dispositivo. O orçamento do livro é em dados, bits e capital (cap. 32, o teto dos bits), nunca em joules por evento; nenhum degrau mede consumo energético de hardware, e plasticidade aqui é troca de projeto, não a memória/esquecimento que os caps. 16–20 medem.
RF050	al2025neurobench	J. Yik; K. V. den Berghe; D. den Blanken; Y. Bouhadjar et al.	Neurobench: A framework for benchmarking neuromorphic computing algorithms and systems	2025	Harvard University; Delft University of Technology; Forschungszentrum Jülich; IMEC Netherlands; City University of Hong Kong; Intel; Istituto Italiano di Tecnologia (colaboração multi-institucional)	https://doi.org/10.1038/s41467-025-56739-4	Ciência da Computação	Neuromórfico; Benchmarking; Operações sinápticas; Atualizações de membrana	fora-de-escopo	Benchmark de sistemas neuromórficos (operações sinápticas, atualizações de membrana): os degraus de capacidade e teto do mapa já têm instrumentos próprios ancorados — dambre2012information no cap. 29 e landauer1961irreversibility no cap. 32; o paper carrega números de engenharia de benchmark, não uma afirmação para capítulo existente.
RF055	gupta2026simple	Shashank Gupta, Chaitanya Ahuja, Tsung-Yu Lin, Sreya Dutta Roy, Harrie Oosterhuis, Maarten de Rijke, Satya Narayan Shukla	A Simple and Effective Reinforcement Learning Method for Text-to-Image Diffusion Fine-tuning	2026	University of Amsterdam, Meta AI, Radboud University	https://arxiv.org/abs/2503.00897	Ciência da Computação	Aprendizado por reforço (RL), ajuste fino de modelos de difusão, eficiência de amostra, variância, modelos texto-para-imagem.	fora-de-escopo	Aprendizado por reforço para ajuste fino de modelos de difusão texto-para-imagem: síntese de imagem não é objeto de nenhum degrau do §4 (alarmes com orçamento, caudas e famílias geradoras, janelas, memória e capacidade, causa e intervenção, conformal/e-values, dependência e cópulas, relógio e recorde).
RF057	jun2025neural	James P Jun, Vijay Marupudi, Raj Sanjay Shah, Sashank Varma	A Neural Network Model of Complementary Learning Systems: Pattern Separation and Completion for Continual Learning	2025	Georgia Institute of Technology	https://arxiv.org/abs/2507.11393	Ciência da Computação	Aprendizado Contínuo, Sistemas de Aprendizado Complementar (CLS), esquecimento catastrófico, separação de padrões, completamento de padrões	redundante	Esquecimento catastrófico e aprendizado complementar (sistema rápido que separa + lento que consolida) já estão no livro pela linha estabilidade–plasticidade de grossberg1987competitive/grossberg2020path. Dúvida declarada: a decomposição separação/completação de padrões seria vocabulário novo, mas no mapa ela apenas corroboraria com outra arquitetura o que os caps. 19 e 29 já medem — e na dúvida, redundante.
RF058	czado2007predictive	Claudia Czado, Tilmann Gneiting, Leonhard Held	Predictive Model Assessment for Count Data	2007	Technische Universität München, University of Washington, Universität Zürich	https://doi.org/10.1111/j.1541-0420.2009.01191.x	Ciência da Computação	Avaliação de modelos probabilísticos, calibração, dispersão, log-likelihood, inferência Bayesiana	redundante	A avaliação de promessas preditivas/calibração já está no livro pela frente conformal/e-values: lei2021conformal no cap. 16 e vovk2021values + waudbysmith2024estimating no cap. 5; scoring rules para dados de contagem não têm degrau próprio no §4.
RF060	paszke2020density	Adam Paszke, Michał Pilipczuk	VC Density of Set Systems Definable in Tree-Like Graphs	2020	University of Warsaw	https://doi.org/10.4230/LIPIcs.MFCS.2020.78	Ciência da Computação	Vapnik-Chervonenkis (VC) density, dimensão VC, definibilidade em grafos	fora-de-escopo	Densidade VC de sistemas de conjuntos definíveis em grafos tipo árvore: teoria de modelos finita, sem contato com nenhuma medida do livro (alarme, cauda, janela, memória, causa, cobertura). O teto do posto do cap. 29 é medido no instrumento da casa, não por dimensão VC.
RF062	ramiah2024bayesian	Preetha Ramiah, James Q. Smith, Silvia Liverani, Jamie Addison, Annabel Whipp, Oliver Bunnin	Bayesian Graphs of Intelligent Causation	2024	Queen Mary University of London, University of Warwick, The Alan Turing Institute, Dstl	https://doi.org/10.1214/25-ba1513	Ciência da Computação	Causalidade Bayesiana, Redes Bayesianas Causais (CBN), Teoria dos Jogos Bayesiana, Análise de Risco Adversário (ARA)	fora-de-escopo	A camada de grafos causais bayesianos já está no livro via pearl2000bayesian e peters2016causal; o acréscimo real da fonte é teoria dos jogos bayesiana e análise de risco adversário — decidir contra adversário estratégico que modela o decisor de volta é tema que o mapa não toca em nenhum capítulo (o laço do cap. 18 é reativo, não estratégico).
RF065	sanchezlopez2021dual	Borja Sánchez-López, Jesus Cerquides	Dual Stochastic Natural Gradient Descent and convergence of interior half-space gradient approximations	2021	IIIA-CSIC, Campus UAB, Bellaterra (Spain)	https://arxiv.org/abs/2001.06744	Ciência da Computação	Otimização de manifold, Descida de Gradiente Estocástico (SGD), Gradiente Natural, Eficiência de Fisher, Manifold dualmente plano	fora-de-escopo	Descida de gradiente natural em variedade dualmente plana — teoria de otimização geométrica (métrica de Fisher, SGD); o livro mede estimadores, capacidade e esquecimento, não treina por gradiente nem discute geometria de otimização; sem objeto em capítulo nenhum do §4.
RF066	bodik2025structural	Juraj Bodik, Valérie Chavez-Demoulin	Structural restrictions in local causal discovery: identifying direct causes of a target variable	2025	HEC, Université de Lausanne	https://doi.org/10.1093/biomet/asaf042	Ciência da Computação	Descoberta causal local, Grafos Acíclicos Dirigidos (DAGs), Modelos de Equações Estruturais (SCM), Identificabilidade, Suficiência causal local	redundante	A descoberta causal local — causas diretas de um alvo sem descobrir o grafo inteiro — já é o território do cap. 13, que cita peters2016causal, scholkopf2021causal e ghassami2017learning, e do cap. 23 (pearl2000bayesian, wang2025causal, kim2025causal); a fonte corroboraria a mesma identificabilidade por outra via. Dúvida declarada: as 'restrições estruturais' poderiam refinar o enunciado, mas não carregam afirmação mensurável que o mapa ainda não faça.
RF069	clune2017diffusion	Velez e Clune	Diffusion-based neuromodulation can eliminate catastrophic forgetting in simple neural networks	2017	Computer Science Department, University of Wyoming; Uber AI Labs	https://doi.org/10.1371/journal.pone.0187736	Ciência da Computação	Neuromodulação baseada em difusão, esquecimento catastrófico	fora-de-escopo	Esquecimento catastrófico em redes neurais e neuromodulação para retê-lo é mecânica de treino conexionista, na direção oposta ao esquecimento do cap. 19 (desconto com meia-vida, feito para adaptar); os capítulos de memória (16/29/32) medem capacidade em posto e bits — jaeger2001echo e dambre2012information já citadas — e nenhum carrega retenção de habilidade.
RF070	al2017overcoming	Kirkpatrick et al.	Overcoming catastrophic forgetting in neural networks	2017	Google DeepMind (United Kingdom); Imperial College London	https://doi.org/10.1073/pnas.1611835114	Ciência da Computação	Esquecimento catastrófico, aprendizado supervisionado, aprendizado por reforço	redundante	O dilema estabilidade-plasticidade / esquecimento catastrófico já está no livro via grossberg1987competitive (linha Grossberg, com grossberg2020path), e o cap. 19 mede o esquecimento como preço com meia-vida e tolerância — não prescreve remédio de consolidação. Dúvida declarada: o EWC acrescenta o mecanismo de consolidação elástica (Fisher), mas isso é técnica de treino em espaço de parâmetros, não afirmação medível no instrumento de nenhum degrau.
RF071	al2023consistency	Song et al.	Consistency Models	2023	OpenAI	https://arxiv.org/abs/2303.01469	Ciência da Computação	Plasticidade, função de consistência, pré-condicionamento estilo EDM	fora-de-escopo	Consistency models são destilação de difusão para síntese generativa de imagem em poucos passos — o exemplo explícito de fora de escopo. As famílias geradoras do livro são famílias de probabilidade que geram a cauda (cap. 12), não modelos generativos de imagem; nenhum capítulo toca amostragem generativa.
RF072	al2024consistency	Kim et al.	Consistency Trajectory Models: Learning Probability Flow ODE Trajectory of Diffusion (CTM)	2024	KAIST	https://arxiv.org/abs/2310.02279	Ciência da Computação	Correspondência de trajetória (trajectory matching), PF-ODE	fora-de-escopo	Consistency Trajectory Models / PF-ODE de difusão: geração de dados está fora dos oito territórios do mapa (alarmes com orçamento, caudas, janelas, memória, causa, conformal, dependência, relógio).
RF073	al2024improved	Yin et al.	Improved Distribution Matching Distillation for Fast Image Synthesis (DMD2)	2024	MIT, Adobe	https://arxiv.org/abs/2405.14867	Ciência da Computação	Correspondência de distribuição, treinamento adversarial	fora-de-escopo	Destilação por correspondência de distribuição para síntese rápida de imagem (DMD2): mesmo domínio de geração de imagem, sem capítulo correspondente no mapa; nenhuma ponte com os 33 degraus.
RF074	dhariwal2023improved	Song & Dhariwal	Improved Techniques for Training Consistency Models (iCT)	2023	OpenAI	https://arxiv.org/abs/2310.14189	Ciência da Computação	Aprendizado contínuo, plasticidade, currículo de contagem de passos	fora-de-escopo	O objeto da fonte é modelo de consistência: síntese generativa de imagem por destilação de difusão — o exemplo dado de tema fora do mapa. Os rótulos do corpus (plasticidade, currículo de passos) descrevem técnica de treino do gerador, não uma afirmação que os capítulos de memória/capacidade possam medir; o ângulo de plasticidade, se valesse, já estaria melhor servido por dohare2024loss.
RF075	zheng2025large	Kaiwen Zheng, Yuji Wang, Qianli Ma, Huayu Chen, Jintao Zhang, Yogesh Balaji, Jianfei Chen, Ming-Yu Liu, Jun Zhu, Qinsheng Zhang	Large Scale Diffusion Distillation via Score-Regularized Continuous-Time Consistency (rCM)	2025	Alibaba (Wan 2.1), NVIDIA (Cosmos)	https://arxiv.org/abs/2510.08431	Ciência da Computação	Regularização de score, busca de modo (mode-seeking)	fora-de-escopo	Modelos generativos de difusão e destilação industrial (Alibaba/NVIDIA): tema totalmente fora do mapa de alarmes, caudas, janelas, memória, causa, conformal, cópulas e recordes.
RF076	al2024step	Yin et al.	One-step Diffusion with Distribution Matching Distillation (DMD)	2024	MIT, Adobe	https://arxiv.org/abs/2311.18828	Ciência da Computação	Correspondência de distribuição, inferência Bayesiana (KL reversa)	fora-de-escopo	Destilação de difusão em um passo por casamento de distribuição (KL reversa): síntese generativa de imagem, exemplo nomeado de fora de escopo; nenhum dos 33 degraus toca geração.
RF077	song2024simplifying	Lu & Song	Simplifying, Stabilizing and Scaling Continuous-Time Consistency Models (sCM / TrigFlow)	2024	OpenAI	https://arxiv.org/abs/2410.11081	Ciência da Computação	Consistência em tempo contínuo, parametrização TrigFlow	fora-de-escopo	Modelos de consistência em tempo contínuo (sCM/TrigFlow) para acelerar síntese generativa por difusão: exatamente o exemplo de síntese generativa de imagem que o mapa não toca; não carrega afirmação sobre medida, alarme, cauda, janela, memória, causa ou relógio.
RF082	herbrich2000bayesian	Ralf Herbrich, Thore Graepel	A PAC-Bayesian Margin Bound for Linear Classifiers: Why SVMs work	2000	Technical University of Berlin	https://proceedings.neurips.cc/paper_files/paper/2000/hash/06a15eb1c3836723b53e4abca8d9b879-Abstract.html	Probabilidade e Estatística	Fronteira PAC-Bayesiana, generalização de classificadores lineares, margem normalizada, dimensão VC	—	—
RF083	pabloamc2023causal	PabloAMC, Jaime Sevilla, Victor Veitch, Claudia Shi, Zhijing Jin	Causal representation learning as a technique to prevent goal misgeneralization	2023	AI Alignment Forum, University of Oxford, DeepMind, Columbia University, Max Planck, ETH, UC Berkeley	https://www.alignmentforum.org/posts/vzLNnc59LyzqDCyJC/causal-representation-learning-as-a-technique-to-prevent	Ciência da Computação	Aprendizado de representação causal (CRL), desalinhamento de metas (goal misgeneralization), modelos causais estruturais (SCM), robustez a mudanças de distribui	fora-de-escopo	Goal misgeneralization em agentes e aprendizado de representações causais não têm capítulo no mapa — nada de agentes, alinhamento ou aprendizado de representações em nenhum dos 33 degraus; e é post de fórum (AI Alignment Forum) sem revisão, qualidade também insuficiente para o registro do livro.
RF085	zhu2026wasserstein	Zhaoyu Zhu, Rui Gao, Shuang Li	Wasserstein Policy Gradient for Entropy-Regularized Linear-Quadratic Control	2026	University of Illinois Urbana-Champaign, University of Texas at Austin, Chinese University of Hong Kong	https://arxiv.org/abs/2608.07433	Matemática	Gradiente de política de Wasserstein (WPG), controle Linear-Quadrático (LQ), regularização por entropia, convergência global	fora-de-escopo	Gradiente de política de Wasserstein com convergência global para controle LQ entrópico é otimização e controle estocástico puros: o orçamento do livro é de alarme (caps. 15/21/28), não de custo de controle, e o Wasserstein do livro é geometria de comparação entre leis — nenhum degrau carrega desenho de política ótima.
RF086	bastian2026bayesian	Julien Bastian, Benjamin Leblanc, Pascal Germain, Amaury Habrard, Christine Largeron, Guillaume Metzler, Emilie Morvant, Paul Viallard	PAC-Bayesian Generalization Guarantees for Fairness on Stochastic and Deterministic Classifiers	2026	Université Jean Monnet Saint-Étienne, Université Laval, Univ Rennes	https://hal.science/hal-05505285v1	Ciência da Computação	Group Fairness, PAC-Bayesian Theory, Stochastic Gibbs Classifier, Weighted Majority Vote	fora-de-escopo	Garantias PAC-bayesianas para fairness de classificadores: fairness é tema explicitamente fora do mapa — nenhum dos 33 degraus toca equidade de grupos, e o contacto com generalização que a fonte tem é subordinado à pergunta de fairness, que o livro não faz.
RF089	li2025feature	Haoze Li, Jun Xie	Feature Matching Intervention: Leveraging Observational Data for Causal Representation Learning	2025	Purdue University	https://arxiv.org/abs/2503.03634	Ciência da Computação	Aprendizado de representação causal, intervenção, generalização fora da distribuição (OOD), recursos espúrios	redundante	A alegação central — intervir separa causa de acompanhamento, e observational sozinho não basta — é a pergunta A4, medida no cap. 13 (ver mundos basta), e o princípio causal já entra via peters2016causal e scholkopf2021causal. Aprendizado de representação latente e recursos espúrios não são objeto de nenhum degrau, então o que sobra é corroboração por outro método. Dúvida declarada: a fonte trabalha representações não observadas, fora dos objetos declarados do livro.
