id	chave	autores	titulo	ano	veiculo	link	area	tema
RF078	ansari2021sklar	Jonathan Ansari, Ludger Rüschendorf	Sklar’s theorem, copula products, and ordering results in factor models	2021	University of Freiburg	https://doi.org/10.1515/demo-2021-0113	Probabilidade e Estatística	Dependência condicional, Teorema de Sklar, modelos de fatores
RF079	ly2023tutorial	Alexander Ly, Udo Boehm, Peter Grünwald, Aaditya Ramdas, Don van Ravenzwaaij	A Tutorial on Safe Anytime-Valid Inference: Practical Maximally Flexible Sampling Designs for Experiments Based on e-Values	2023	Centrum Wiskunde & Informatica, Tilburg University, Leiden University, Carnegie Mellon, University of Groningen	https://doi.org/10.31234/osf.io/h5vae	Probabilidade e Estatística	e-values, inferência Bayesiana, controle de erro tipo I, processos de evidência, amostragem adaptativa
RF081	scheffer2003catastrophic	Marten Scheffer, Stephen R. Carpenter	Catastrophic regime shifts in ecosystems: linking theory to observation	2003	Wageningen University, University of Wisconsin	https://doi.org/10.1016/j.tree.2003.09.002	Ecologia	Estados estáveis alternativos, feedback positivo, resiliência, transições críticas, regimes dinâmicos
RF084	bing2023invariance	Simon Bing, Jonas Wahl, Urmi Ninad, Jakob Runge	Invariance & Causal Representation Learning: Prospects and Limitations	2023	Technische Universität Berlin, German Aerospace Center (DLR)	https://arxiv.org/abs/2312.03580	Ciência da Computação	Invariância de mecanismos causais, aprendizado de representação causal, identificabilidade, variáveis latentes
RF087	clemente2021calibrating	Annalisa Di Clemente, Claudio Romano	Calibrating and Simulating Copula Functions in Financial Applications	2021	Sapienza University of Rome	https://doi.org/10.3389/fams.2021.642210	Probabilidade e Estatística	Copula functions, Dependência não-Gaussiana, Simulação de Monte Carlo
RF088	oconnell2026extreme	Ryan O'Connell	Extreme Value Theory in Finance: Tail Risk, GEV, and GPD	2026	Ryan O'Connell Finance LLC	https://ryanoconnellfinance.com/extreme-value-theory-finance/	Probabilidade e Estatística	Tail Risk (Risco de Cauda), Leptocurtose, Value at Risk (VaR), Expected Shortfall (ES)
RF090	perdomo2020performative	Juan C. Perdomo, Tijana Zrnic, Celestine Mendler-Dünner, Moritz Hardt	Performative Prediction	2020	University of California, Berkeley	https://arxiv.org/abs/2002.06673	Ciência da Computação	Predição performativa, estabilidade performativa, mudança de distribuição, classificação estratégica
RF091	xu2025wasserstein	Xu, Xie	Wasserstein-Regularized Conformal Prediction under General Distribution Shift	2025	The Hong Kong University of Science and Technology (Guangzhou); Harbin Institute of Technology; Lehigh University	https://arxiv.org/abs/2501.13430	Probabilidade e Estatística	Predição Conforme (CP), incerteza quantitativa, desvio de conceito (concept drift), distância de Wasserstein
RF093	koike2026measuring	Takaaki Koike, Marius Hofert, Haruki Tsunekawa	Measuring multivariate maximal tail dependence	2026	Hitotsubashi University, University of Hong Kong	https://arxiv.org/abs/2605.25766	Probabilidade e Estatística	Dependência de cauda multivariada, cópulas, valor extremo, não-permutabilidade de cauda
RF097	sebastian2025enhancing	Carlos Sebastián, Carlos E. González-Guillén, Jesús Juan	Enhancing reliability in prediction intervals using point forecasters: Heteroscedastic Quantile Regression and Width-Adaptive Conformal Inference	2025	Fortia Energía, Universidad Politécnica de Madrid	https://arxiv.org/abs/2406.14904	Probabilidade e Estatística	Inferência Bayesiana, regressão quantílica heteroscedástica, previsão probabilística, conformal prediction
RF098	gibbs2002choosing	Alison L. Gibbs, Francis Edward Su	On choosing and bounding probability metrics	2002	York University, Harvey Mudd College	https://doi.org/10.1111/j.1751-5823.2002.tb00178.x	Probabilidade e Estatística	Métricas de probabilidade, convergência de medidas, estatística Bayesiana
RF105	shafer2006sources	Glenn Shafer, Vladimir Vovk	The Sources of Kolmogorov’s Grundbegriffe	2006	Rutgers Business School, Royal Holloway University of London	https://doi.org/10.1214/088342305000000467	Probabilidade e Estatística	Axiomatização da probabilidade, teoria da medida, frequentismo, aditividade contável, princípio de Cournot
RF106	amo2012characterization	E. de Amo, M. Díaz Carrillo, J. Fernández-Sánchez	Characterization of all copulas associated with non-continuous random variables	2012	University of Almería, University of Granada	https://doi.org/10.1016/j.fss.2011.10.005	Probabilidade e Estatística	Cópulas multivariadas, subcópulas, Teorema de Sklar, medidas duplamente estocásticas
RF108	pope2005analysis	Simon Pope, Audun Jøsang	Analysis of Competing Hypotheses using Subjective Logic	2005	The University of Queensland, DSTC Pty Ltd	http://dodccrp.org/events/10th_ICCRTS/CD/presentations/126.pdf	Probabilidade e Estatística	Lógica Subjetiva, inferência Bayesiana, incerteza, análise de inteligência
RF109	tibshirani2019conformal	Ryan J. Tibshirani, Rina Foygel Barber, Emmanuel J. Candès, Aaditya Ramdas	Conformal Prediction Under Covariate Shift	2019	Stanford University, University of Chicago, Carnegie Mellon University	https://proceedings.neurips.cc/paper_files/paper/2019/hash/8fb21ee7a2207526da55a679f0332de2-Abstract.html	Probabilidade e Estatística	Predição Conforme (Conformal Prediction), Covariate Shift, distribuição de dados
RF110	dahlhaus1997estimation	Rainer Dahlhaus	Fitting time series models to nonstationary processes	1997	Universität Heidelberg	https://doi.org/10.1214/aos/1034276620	Probabilidade e Estatística	Titulo corrigido na curadoria de links: o corpus trazia um titulo que nao existe em indice nenhum (Crossref, OpenAlex, arXiv), e o unico Dahlhaus 1997 de Heidelberg em processos localmente estacionarios e este, que a propria lista de referencias do Dahlhaus 2012 cita assim. Processos localmente estacionários, estimativa de parâmetros, análise de séries temporais
RF111	jsang2007cumulative	Audun Jøsang	Cumulative and Averaging Fission of Beliefs	2007	UniK, University of Oslo	https://arxiv.org/abs/0712.1182	Probabilidade e Estatística	Fusão de crenças, fissão de crenças, Lógica Subjetiva, Redes Bayesianas
RF116	garcin2026nonparametric	Matthieu Garcin, Maxime L. D. Nicolas	Nonparametric estimator of the tail dependence coefficient: balancing bias and variance	2026	Léonard de Vinci Pôle Universitaire, Université Paris I Panthéon-Sorbonne	https://doi.org/10.1007/s00362-024-01582-w	Probabilidade e Estatística	Independência de cauda, inferência Bayesiana (implícita em modelos de cópula), dependência extremal, erro quadrático médio (MSE).
RF117	kim2025causal	Kwonho Kim, Heejeong Nam, Inwoo Hwang, Sanghack Lee	Towards Causal Representation Learning with Observable Sources as Auxiliaries	2025	Seoul National University, Brown University, Columbia University	https://arxiv.org/abs/2509.19058	Ciência da Computação	Aprendizado de representação causal (CRL), d-separação, independência condicional, análise de componentes independentes não lineares (ICA), análise de subespaço
RF118	mey2024invariant	Alexander Mey, Rui Manuel Castro	Invariant Causal Prediction with Locally Linear Models	2024	Eindhoven University of Technology (TU/e), ASML Research	https://arxiv.org/abs/2401.05218	Ciência da Computação	Descoberta causal, predição causal invariante (ICP), heterogeneidade de ambiente
RF120	palma2010efficient	Wilfredo Palma, Ricardo Olea	An efficient estimator for locally stationary Gaussian long-memory processes	2010	Pontificia Universidad Católica de Chile	https://doi.org/10.1214/10-aos812	Probabilidade e Estatística	Dependência de longo alcance, processos Gaussianos esparsos, verossimilhança de Whittle
RF121	dahlhaus2012locally	Rainer Dahlhaus	Locally stationary processes	2012	Universität Heidelberg	https://doi.org/10.1016/b978-0-444-53858-1.00013-2	Probabilidade e Estatística	Não-estacionaridade, assintótica de preenchimento (infill asymptotics), densidade espectral variante no tempo
RF122	dahlhaus2006nonparametric	Rainer Dahlhaus, Wolfgang Polonik	Nonparametric quasi maximum likelihood estimation for Gaussian locally stationary processes	2006	Universität Heidelberg, University of California	https://doi.org/10.1214/009053606000000867	Probabilidade e Estatística	Estimativa de máxima verossimilhança não-paramétrica, processos espectrais empíricos
RF123	dahlhaus1998optimal	Rainer Dahlhaus, L. Giraitis	On the optimal segment length for parameter estimates for locally stationary time series	1998	Universität Heidelberg	https://doi.org/10.1111/1467-9892.00114	Probabilidade e Estatística	Processos estacionários locais, estimativas de Yule-Walker, modelos autorregressivos variantes no tempo (tvAR)
RF124	palma2013estimation	Wilfredo Palma, Ricardo Olea, Guillermo Ferreira	Estimation and forecasting of locally stationary processes	2013	Sociedad Chilena de Estadística	https://doi.org/10.1002/for.1259	Probabilidade e Estatística	Sistemas de estado-espaço, predição de múltiplos passos, memória curta e longa
RF125	wang2025causal	Linbo Wang, Thomas Richardson, James Robins	Causal Inference: A Tale of Three Frameworks	2025	University of Toronto, University of Washington, Harvard T.H. Chan School of Public Health	https://doi.org/10.6339/25-jds1211	Ciência da Computação	Inferência causal, potenciais desfechos (potential outcomes), modelos de equações estruturais (SEMs), grafos acíclicos direcionados (DAGs), independência condic
RF126	derr2023systems	Rabanus Derr, Robert C. Williamson	Systems of Precision: Coherent Probabilities on Pre-Dynkin-Systems and Coherent Previsions on Linear Subspaces	2023	University of Tübingen, Tübingen AI Centre	https://doi.org/10.3390/e25091283	Probabilidade e Estatística	Probabilidade imprecisa, sistemas de precisão, inferência Bayesiana, coerência, sistemas de (pre-)Dynkin, teoria da dualidade de rede.
RF128	ghassami2017learning	AmirEmad Ghassami, Saber Salehkaleybar, Negar Kiyavash, Kun Zhang	Learning Causal Structures Using Regression Invariance	2017	University of Illinois at Urbana-Champaign, Carnegie Mellon University	https://proceedings.neurips.cc/paper/2017/hash/62889e73828c756c961c5a6d6c01a463-Abstract.html	Ciência da Computação	Aprendizado de estrutura causal, independência condicional, classes de equivalência de Markov, modelos de equações estruturais lineares (SEM)
RF130	lei2021conformal	Lihua Lei, Emmanuel J. Candès	Conformal Inference of Counterfactuals and Individual Treatment Effects	2021	Stanford University	https://doi.org/10.1111/rssb.12445	Probabilidade e Estatística	Inferência conforme, efeitos de tratamento individuais (ITE), inferência causal, contra-factuais, variabilidade de resposta
RF131	cheriefabdellatif2019generalization	Badr-Eddine Chérief-Abdellatif, Pierre Alquier, Mohammad Emtiyaz Khan	A Generalization Bound for Online Variational Inference	2019	CREST, ENSAE, Institut Polytechnique de Paris; RIKEN Center for AI Project	https://arxiv.org/abs/1904.03920	Probabilidade e Estatística	Inferência Bayesiana, Inferência Variacional (VI), aprendizado online, limites de generalização, temperagem de verossimilhança
RF136	lew2019reckless	Michael J. Lew	A reckless guide to P-values	2019	University of Melbourne	https://doi.org/10.1007/164_2019_286	Probabilidade e Estatística	Inferência estatística, P-values, Testes de hipótese vs. significância, Erros globais vs. evidência local
RF138	miller2021outside	John Miller, Juan C. Perdomo, Tijana Zrnic	Outside the Echo Chamber: Optimizing the Performative Risk	2021	University of California, Berkeley	https://proceedings.mlr.press/v139/miller21a.html	Ciência da Computação	Predição performativa, risco performativo, estabilidade performativa, predição ótima performativa
RF139	halme2026sequential	Topi Halme, H. Vincent Poor, Visa Koivunen	Sequential Change Detection using Mixtures of Predictive Distributions	2026	Aalto University, Princeton University	https://arxiv.org/abs/2606.05072	Probabilidade e Estatística	Detecção de mudanças (Quickest Change Detection), CuSum, distribuições preditivas, inferência Bayesiana, regret adaptativo
RF142	carlson1999highly	J. M. Carlson, John Doyle	Highly Optimized Tolerance: A Mechanism for Power Laws in Designed Systems	1999	University of California, Santa Barbara; California Institute of Technology (Caltech)	https://doi.org/10.1103/PhysRevE.60.1412	Física	Tolerância Altamente Otimizada (HOT), leis de potência, robustez, complexidade projetada vs. auto-organizada
RF143	taleb2018much	Nassim Nicholas Taleb	How Much Data Do You Need? A Pre-asymptotic Metric for Fat-tailedness	2018	Tandon School of Engineering, New York University	https://doi.org/10.1016/j.ijforecast.2018.10.003	Probabilidade e Estatística	Caudas pesadas (fat-tailedness), convergência pré-assintótica, inferência estatística, significância estatística
RF144	rivasplata2018bayes	Omar Rivasplata, Emilio Parrado-Hernández, John Shawe-Taylor, Shiliang Sun, Csaba Szepesvári	PAC-Bayes bounds for stable algorithms with instance-dependent priors	2018	UCL, University Carlos III of Madrid, East China Normal University, DeepMind	https://arxiv.org/abs/1806.06827	Ciência da Computação	Estabilidade de hipótese, complexidade de classe, generalização, aleatoriedade Gaussiana
RF145	kakade2008complexity	Sham M. Kakade, Karthik Sridharan, Ambuj Tewari	On the Complexity of Linear Prediction: Risk Bounds, Margin Bounds, and Regularization	2008	Toyota Technological Institute — Chicago	https://papers.nips.cc/paper/2008/hash/5b69b9cb83065d403869739ae7f0995e-Abstract.html	Ciência da Computação	Complexidade de Rademacher, complexidade Gaussiana, teorema PAC-Bayes, predição linear
RF146	candes2021adaptive	I. Gibbs and E. Candès	Adaptive conformal inference under distribution shift	2021	Advances in Neural Information Processing Systems, 34:1660--1672, 2021	https://arxiv.org/abs/2106.00170	Probabilidade e Estatística	Predicao conforme, cobertura marginal, desvio de distribuicao
RF147	bradley2005basic	R. C. Bradley	Basic properties of strong mixing conditions. A survey and some open questions	2005	Probability Surveys, 2:107--144, 2005	https://doi.org/10.1214/154957805100000104	Probabilidade e Estatística	Dependencia temporal, coeficientes de mistura, processos estacionarios
RF148	paninski2003estimation	L. Paninski	Estimation of entropy and mutual information	2003	Neural Computation, 15(6):1191--1253, 2003	https://doi.org/10.1162/089976603321780272	Probabilidade e Estatística	Entropia de Shannon, informacao mutua, estimacao nao parametrica
RF150	dahlhaus1997fitting	R. Dahlhaus	Fitting time series models to nonstationary processes	1997	The Annals of Statistics, 25(1):1--37, 1997	https://doi.org/10.1214/aos/1034276620	Probabilidade e Estatística	Nao-estacionariedade, processos localmente estacionarios, infill asymptotics
RF152	csiszar1975divergence	I. Csiszár	I-divergence geometry of probability distributions and minimization problems	1975	The Annals of Probability, 3(1):146--158, 1975	https://doi.org/10.1214/aop/1176996454	Probabilidade e Estatística	Divergencia f, geometria da informacao, projecao em conjuntos convexos
RF153	gavalda2007learning	A. Bifet and R. Gavaldà	Learning from time-changing data with adaptive windowing	2007	In SIAM International Conference on Data Mining, pages 443--448, 2007	https://doi.org/10.1137/1.9781611972771.42	Probabilidade e Estatística	Deteccao de drift, janelas adaptativas, fluxos de dados
RF154	gama2004learning	J. Gama, P. Medas, G. Castillo, and P. Rodrigues	Learning with drift detection	2004	In Brazilian Symposium on Artificial Intelligence, pages 286--295, 2004	https://doi.org/10.1007/978-3-540-28645-5_29	Probabilidade e Estatística	Mudanca de conceito, aprendizado incremental, erro online
RF156	masry1996minimum	D. S. Modha and E. Masry	Minimum complexity regression estimation with weakly dependent observations	1996	IEEE Transactions on Information Theory, 42(6):2133--2145, 1996	https://doi.org/10.1109/18.556602	Probabilidade e Estatística	Complexidade minima (MDL), dependencia fraca, risco estrutural
RF158	yu1994rates	B. Yu	Rates of convergence for empirical processes of stationary mixing sequences	1994	The Annals of Probability, 22(1):94--116, 1994	https://doi.org/10.1214/aop/1176988849	Probabilidade e Estatística	Processos empiricos, mistura forte, entropia metrica
RF161	dambre2012information	J. Dambre, D. Verstraeten, B. Schrauwen, S. Massar	Information processing capacity of dynamical systems	2012	Scientific Reports, 2:514, 2012	https://doi.org/10.1038/srep00514	Ciência da Computação	Capacidade de processamento de informacao; reservatorios; memoria e nao-linearidade
RF162	landauer1961irreversibility	R. Landauer	Irreversibility and heat generation in the computing process	1961	IBM Journal of Research and Development, 5(3):183--191, 1961	https://doi.org/10.1147/rd.53.0183	Física	Custo termodinamico da computacao; apagamento de bits; kT ln 2
RF163	godreche2018characterising	C. Godreche, J.-M. Luck	Characterising the nonequilibrium stationary states of Ornstein-Uhlenbeck processes	2018	Journal of Physics A: Mathematical and Theoretical, 52(3):035002, 2018	https://arxiv.org/abs/1807.00694	Filosofia	Entropia produzida; reversibilidade temporal; matriz de Onsager; estado estacionario de nao-equilibrio
RF165	cover2006elements	T. M. Cover, J. A. Thomas	Elements of Information Theory	2006	Wiley-Interscience, 2a edicao	https://doi.org/10.1002/047174882X	Ciência da Computação	Entropia diferencial; mudanca de variaveis; desigualdade do processamento de dados
RF166	oseledets1968multiplicative	V. I. Oseledets	A multiplicative ergodic theorem: Lyapunov characteristic numbers for dynamical systems	1968	Transactions of the Moscow Mathematical Society, 19:197--231, 1968	https://doi.org/10.1090/trans2/019	Matemática	Expoentes de Lyapunov; teorema ergodico multiplicativo; ciclo de Jacobianos; espectro de Oseledets
RF172	gallavotti1995dynamical	G. Gallavotti, E. G. D. Cohen	Dynamical ensembles in stationary states	1995	Journal of Statistical Physics, 80(5-6):931--970, 1995	https://doi.org/10.1007/BF02179860	Matemática	Contracao do espaco de fase; producao de entropia; teorema de flutuacao; estado estacionario de nao-equilibrio
RF174	ariq2026pseudospectral	A. H. Ariq	Pseudospectral Bounds for Transient Amplification in Coupled Gradient Descent	2026	arXiv:2606.04031	https://arxiv.org/abs/2606.04031	Matemática	Jacobiano bloco-triangular; constante de Kreiss; amplificacao transiente; complexidade de iteracao; duas escalas
RF177	henrici1962bounds	P. Henrici	Bounds for iterates, inverses, spectral variation and fields of values of non-normal matrices	1962	Numerische Mathematik, 4(1):24--40, 1962	https://doi.org/10.1007/BF01386294	Matemática	Afastamento da normalidade; iteradas e inversas de matrizes; variacao espectral; campos de valores
RF178	trefethen1993hydrodynamic	L. N. Trefethen, A. E. Trefethen, S. C. Reddy, T. A. Driscoll	Hydrodynamic stability without eigenvalues	1993	Science, 261(5121):578--584, 1993	https://doi.org/10.1126/science.261.5121.578	Matemática	Crescimento transiente; estabilidade hidrodinamica; pseudoespectro; cisalhamento; matriz nao-normal
RF185	heiss2012physics	W. D. Heiss	The physics of exceptional points	2012	Journal of Physics A: Mathematical and Theoretical, 45(44):444016, 2012	https://doi.org/10.1088/1751-8113/45/44/444016	Matemática	Ponto excepcional; degenerescencia nao-hermitiana; desdobramento em raiz; coalescencia de autovetores
RF191	botha1998products	J. D. Botha	Products of diagonalizable matrices	1998	Linear Algebra and its Applications, 273:65--82	https://doi.org/10.1016/S0024-3795(97)00344-3	Matemática	Produto de matrizes diagonalizáveis; forma de Jordan; defeituosidade; corpos com ao menos quatro elementos
